Name,physicalAddress,postalAddress,Email
Bradshaw Primary School,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au
Belyuen School,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",elspeth.hurse@education.nt.gov.au
Batchelor Area School,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au
Bees Creek Primary School,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT",bees.creek@education.nt.gov.au
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129,, via Alice Springs, 0872, NT",sian.munn@education.nt.gov.au
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au
Barunga School,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au
Baniyala Garrangali School,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",cameron.adams@education.nt.gov.au
